no;SERIAL;TB_00;TB_01;A000;Fragebogen;InAusbildung;Geschlecht;Alter;RP;GruppeLK;GruppeLK_o;Vollzeit;Deputat;SProzent;Mehrarbeit;Mehrarbeit_o;Deputatsnachlass;Deputatsnachlass_o;AZ;AZ_00;AZO_01;AZO_02;AZO_03;AZO_04;AZF_01;AZF_02;AZF_03;AZF_04;LA01;LC01;LC06;LC06_o;LC11_01;LC11_02;LC11_03;LC11_04;LC11_05;LC11_06;LC11_07;LC11_08;LC11_09;LC11_10;LC11_11;LC11_11_o;LC12_01;LC12_02;LC12_03;SA01;SC04;SC09_01;SC09_02;SC09_03;VA02;VA02_o;VC02;VC03_01;VC03_02;VC03_03;VC08_01;VC08_02;VC08_03;VC08_04;VC08_05;VC08_06;VC08_07;VC08_08;VC08_09;VC08_10;VC08_11;VC08_11_o
1;153ZW1T69Y;1;1;1;1;0;2;51;4;1;;0;22,00;88,00;0;#NULL!;0;#NULL!;48,00;5,50;20,00;0,00;28,00;0,00;4,00;8,00;35,00;15,00;1;25;1;1,0000;17,0000;14,0000;7,0000;1,0000;1,0000;1,0000;3,0000;2,0000;1,0000;1,0000;#NULL!;;34;4;0;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;
2;157UYFLKQG;1;0;1;1;0;2;54;2;2;;1;27,00;100,00;0;#NULL!;1;2,50;47,00;7,00;34,00;0,00;13,00;0,00;5,00;4,00;40,00;10,00;1;27;1;2,0000;18,0000;11,0000;6,0000;1,0000;3,0000;1,0000;4,0000;2,0000;0,0000;1,0000;0,0000;;29;6;3;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;
3;15AX1KGKNS;1;0;1;1;0;2;35;2;1;;1;25,00;100,00;0;#NULL!;1;1,75;45,50;3,30;23,50;0,00;20,00;2,00;3,00;4,00;11,00;22,00;1;25;1;1,7500;15,7500;13,0000;10,0000;2,0000;2,5000;0,0000;3,0000;1,5000;0,0000;1,0000;#NULL!;;38;4;2;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;
4;167179BG2K;1;1;1;3;1;1;33;3;1;;1;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;46,00;5,00;19,00;#NULL!;26,00;1,00;10,00;6,00;100,00;50,00;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;2;;4;0,0000;2,0000;19,0000;17,0000;18,0000;2,0000;1,0000;3,0000;0,0000;1,0000;0,0000;0,0000;4,0000;;
5;1AAGNLCCRX;1;1;1;1;0;2;57;1;1;;1;25,00;100,00;0;#NULL!;0;#NULL!;46,00;10,00;32,00;0,00;14,00;0,00;6,00;8,00;50,00;120,00;1;25;3;#NULL!;20,0000;7,0000;6,0000;5,0000;4,0000;1,0000;0,0000;1,0000;0,0000;2,0000;0,0000;;25;6;7;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;
6;1BGXRNDR9F;1;1;1;1;0;1;54;1;1;;0;24,00;96,00;0;#NULL!;1;1,00;32,00;5,00;31,00;0,00;1,00;0,00;1,00;1,00;5,00;2,00;1;25;2;#NULL!;18,0000;5,0000;2,0000;1,0000;1,0000;1,0000;1,0000;2,0000;0,0000;0,0000;0,0000;;30;5;3;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;
7;1D2FS22H9A;1;0;1;2;0;1;47;3;1;;1;25,00;100,00;0;#NULL!;1;21,00;55,00;6,00;53,00;1,00;1,00;0,00;0,00;2,00;170,00;15,00;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;#NULL!;#NULL!;#NULL!;1;4,0000;38;0;0;#NULL!;;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;
8;1DBEPMC37N;1;0;1;1;0;2;37;4;1;;0;21,00;84,00;0;#NULL!;1;1,50;29,00;2,00;16,50;0,00;8,50;0,00;2,00;2,00;8,00;4,00;1;25;1;1,5000;16,0000;10,0000;0,5000;0,5000;1,0000;0,0000;0,5000;0,5000;0,0000;0,0000;#NULL!;;30;4;4;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;
9;1FFGLYCLWR;1;1;1;1;0;2;57;1;1;;0;23,00;92,00;1;1,00;1;1,00;42,00;2,00;28,00;0,00;14,00;0,00;1,00;3,00;96,00;30,00;3;25;1;1,0000;18,0000;13,0000;2,0000;1,0000;1,0000;0,5000;0,0000;0,5000;0,0000;3,0000;3,5000;Stundenplanarbeit;22;8;8;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;
10;1P42TE1749;1;0;1;1;0;2;38;4;1;;0;20,00;80,00;1;3,00;1;1,00;35,00;1,25;25,00;0,50;10,00;0,00;2,00;3,00;30,00;15,00;1;25;1;1,0000;15,0000;6,5000;5,0000;0,5000;5,0000;0,5000;0,5000;1,0000;0,5000;1,0000;0,5000;Schulevents,;12;12;12;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;
