date;holiday_tasks;holiday_wr;weekday;wr_days;NR_wr;cw
14.03.2022;0;0;1;1;;11
15.03.2022;0;0;2;;;11
16.03.2022;0;0;3;;;11
17.03.2022;0;0;4;;;11
18.03.2022;0;0;5;;;11
19.03.2022;0;0;6;1;;11
20.03.2022;0;0;7;1;0;11
21.03.2022;0;0;1;1;;12
22.03.2022;0;0;2;;;12
23.03.2022;0;0;3;;;12
24.03.2022;0;0;4;;;12
25.03.2022;0;0;5;;;12
26.03.2022;0;0;6;1;;12
27.03.2022;0;0;7;1;0;12
28.03.2022;0;0;1;1;;13
29.03.2022;0;0;2;;;13
30.03.2022;0;0;3;;;13
31.03.2022;0;0;4;;;13
01.04.2022;0;0;5;;;13
02.04.2022;0;0;6;1;;13
03.04.2022;0;0;7;1;0;13
04.04.2022;0;0;1;1;;14
05.04.2022;0;0;2;;;14
06.04.2022;0;0;3;;;14
07.04.2022;0;0;4;;;14
08.04.2022;0;0;5;;;14
09.04.2022;0;0;6;1;;14
10.04.2022;0;0;7;1;0;14
11.04.2022;0;0;1;1;;15
12.04.2022;0;0;2;;;15
13.04.2022;0;0;3;;;15
14.04.2022;1;0;4;;;15
15.04.2022;1;1;5;;;15
16.04.2022;1;1;6;1;;15
17.04.2022;1;1;7;1;1;15
18.04.2022;1;0;1;1;;16
19.04.2022;1;0;2;;;16
20.04.2022;1;0;3;;;16
21.04.2022;1;0;4;;;16
22.04.2022;1;1;5;;;16
23.04.2022;1;1;6;1;;16
24.04.2022;1;1;7;1;1;16
25.04.2022;0;0;1;1;;17
26.04.2022;0;0;2;;;17
27.04.2022;0;0;3;;;17
28.04.2022;0;0;4;;;17
29.04.2022;0;0;5;;;17
30.04.2022;0;0;6;1;;17
01.05.2022;0;0;7;1;0;17
02.05.2022;0;0;1;1;;18
03.05.2022;0;0;2;;;18
04.05.2022;0;0;3;;;18
05.05.2022;0;0;4;;;18
06.05.2022;0;0;5;;;18
07.05.2022;0;0;6;1;;18
08.05.2022;0;0;7;1;0;18
09.05.2022;0;0;1;1;;19
10.05.2022;0;0;2;;;19
11.05.2022;0;0;3;;;19
12.05.2022;0;0;4;;;19
13.05.2022;0;0;5;;;19
14.05.2022;0;0;6;1;;19
15.05.2022;0;0;7;1;0;19
16.05.2022;0;0;1;1;;20
17.05.2022;0;0;2;;;20
18.05.2022;0;0;3;;;20
19.05.2022;0;0;4;;;20
20.05.2022;0;0;5;;;20
21.05.2022;0;0;6;1;;20
22.05.2022;0;0;7;1;0;20
23.05.2022;0;0;1;1;;21
24.05.2022;0;0;2;;;21
25.05.2022;0;0;3;;;21
26.05.2022;1;0;4;;;21
27.05.2022;0;0;5;;;21
28.05.2022;0;0;6;1;;21
29.05.2022;0;0;7;1;0;21
30.05.2022;0;0;1;1;;22
31.05.2022;0;0;2;;;22
01.06.2022;0;0;3;;;22
02.06.2022;0;0;4;;;22
03.06.2022;0;0;5;;;22
04.06.2022;0;0;6;1;;22
05.06.2022;0;0;7;1;0;22
06.06.2022;1;0;1;1;;23
07.06.2022;1;0;2;;;23
08.06.2022;1;0;3;;;23
09.06.2022;1;0;4;;;23
10.06.2022;1;1;5;;;23
11.06.2022;1;1;6;1;;23
12.06.2022;1;1;7;1;1;23
13.06.2022;1;0;1;1;;24
14.06.2022;1;0;2;;;24
15.06.2022;1;0;3;;;24
16.06.2022;1;0;4;;;24
17.06.2022;1;1;5;;;24
18.06.2022;1;1;6;1;;24
19.06.2022;1;1;7;1;1;24
20.06.2022;0;0;1;1;;25
21.06.2022;0;0;2;;;25
22.06.2022;0;0;3;;;25
23.06.2022;0;0;4;;;25
24.06.2022;0;0;5;;;25
25.06.2022;0;0;6;1;;25
26.06.2022;0;0;7;1;0;25
27.06.2022;0;0;1;1;;26
28.06.2022;0;0;2;;;26
29.06.2022;0;0;3;;;26
30.06.2022;0;0;4;;;26
01.07.2022;0;0;5;;;26
02.07.2022;0;0;6;1;;26
03.07.2022;0;0;7;1;0;26
04.07.2022;0;0;1;1;;27
05.07.2022;0;0;2;;;27
06.07.2022;0;0;3;;;27
07.07.2022;0;0;4;;;27
08.07.2022;0;0;5;;;27
09.07.2022;0;0;6;1;;27
10.07.2022;0;0;7;1;0;27
11.07.2022;0;0;1;1;;28
12.07.2022;0;0;2;;;28
13.07.2022;0;0;3;;;28
14.07.2022;0;0;4;;;28
15.07.2022;0;0;5;;;28
16.07.2022;0;0;6;1;;28
17.07.2022;0;0;7;1;0;28
18.07.2022;0;0;1;1;;29
19.07.2022;0;0;2;;;29
20.07.2022;0;0;3;;;29
21.07.2022;0;0;4;;;29
22.07.2022;0;0;5;;;29
23.07.2022;0;0;6;1;;29
24.07.2022;0;0;7;1;0;29
25.07.2022;0;0;1;1;;30
26.07.2022;0;0;2;;;30
27.07.2022;0;0;3;;;30
28.07.2022;1;0;4;;;30
29.07.2022;1;1;5;;;30
30.07.2022;1;1;6;1;;30
31.07.2022;1;1;7;1;1;30
01.08.2022;1;0;1;1;;31
02.08.2022;1;0;2;;;31
03.08.2022;1;0;3;;;31
04.08.2022;1;0;4;;;31
05.08.2022;1;1;5;;;31
06.08.2022;1;1;6;1;;31
07.08.2022;1;1;7;1;1;31
08.08.2022;1;0;1;1;;32
09.08.2022;1;0;2;;;32
10.08.2022;1;0;3;;;32
11.08.2022;1;0;4;;;32
12.08.2022;1;1;5;;;32
13.08.2022;1;1;6;1;;32
14.08.2022;1;1;7;1;1;32
15.08.2022;1;0;1;1;;33
16.08.2022;1;0;2;;;33
17.08.2022;1;0;3;;;33
18.08.2022;1;0;4;;;33
19.08.2022;1;1;5;;;33
20.08.2022;1;1;6;1;;33
21.08.2022;1;1;7;1;1;33
22.08.2022;1;0;1;1;;34
23.08.2022;1;0;2;;;34
24.08.2022;1;0;3;;;34
25.08.2022;1;0;4;;;34
26.08.2022;1;1;5;;;34
27.08.2022;1;1;6;1;;34
28.08.2022;1;1;7;1;1;34
29.08.2022;1;0;1;1;;35
30.08.2022;1;0;2;;;35
31.08.2022;1;0;3;;;35
01.09.2022;1;0;4;;;35
02.09.2022;1;1;5;;;35
03.09.2022;1;1;6;1;;35
04.09.2022;1;1;7;1;1;35
05.09.2022;1;0;1;1;;36
06.09.2022;1;0;2;;;36
07.09.2022;1;0;3;;;36
08.09.2022;1;0;4;;;36
09.09.2022;1;1;5;;;36
10.09.2022;1;1;6;1;;36
11.09.2022;1;1;7;1;1;36
12.09.2022;0;0;1;1;;37
13.09.2022;0;0;2;;;37
14.09.2022;0;0;3;;;37
15.09.2022;0;0;4;;;37
16.09.2022;0;0;5;;;37
17.09.2022;0;0;6;1;;37
18.09.2022;0;0;7;1;0;37
19.09.2022;0;0;1;1;;38
20.09.2022;0;0;2;;;38
21.09.2022;0;0;3;;;38
22.09.2022;0;0;4;;;38
23.09.2022;0;0;5;;;38
24.09.2022;0;0;6;1;;38
25.09.2022;0;0;7;1;0;38
26.09.2022;0;0;1;1;;39
27.09.2022;0;0;2;;;39
28.09.2022;0;0;3;;;39
29.09.2022;0;0;4;;;39
