no.;code;Leitungsfunktion;entry TBS;deputat FBS;deputat Vollzeit FBS;jobscope FBS;Übereinstimmung jobscope;deputat;deputat_full;jobscope_real;difference;jobscope_fbs;jobscope;Werte, wenn unter 10 % Differenz;age_tbs;age_fbs;age_Übereinstimmung;age;"gender_tbs (1=w; 2=m)";gender_fbs;Änderung gender;gender
1;153ZW1T69Y;0;90,00;22,00;25,00;88,00;0;?;?;?;0,00;89,00;89,00;89,00;50;51;1;51;1;2;;1
2;1AAGNLCCRX;0;100,00;25,00;25,00;100,00;1;25,00;25,00;100,00;1,00;100,00;100,00;100,00;57;57;0;57;1;2;;1
3;1BGXRNDR9F;0;100,00;24,00;25,00;96,00;0;?;?;?;0,00;98,00;98,00;98,00;54;54;0;54;2;1;;2
4;1DBEPMC37N;0;85,00;21,00;25,00;84,00;0;?;?;?;0,00;84,50;84,50;84,50;37;37;0;37;1;2;;1
5;1FFGLYCLWR;0;92,00;23,00;25,00;92,00;1;23,00;25,00;92,00;1,00;92,00;92,00;92,00;56;57;1;57;1;2;;1
6;1PWT9DU91K;0;80,00;20,00;25,00;80,00;1;20,00;25,00;80,00;1,00;80,00;80,00;80,00;51;52;1;52;1;2;;1
7;1R32ELUGQQ;0;72,00;18,00;25,00;72,00;1;?;?;72,00;1,00;72,00;72,00;72,00;53;54;1;54;1;2;;1
8;1SLGWNKAAV;1;80,00;Leitungsfunktion;Leitungsfunktion;80,00;1;Leitungsfunktion;Leitungsfunktion;80,00;1,00;80,00;80,00;80,00;50;51;1;51;1;2;;1
9;1WUZA5YKRW;0;100,00;25,00;25,00;100,00;1;25,00;25,00;100,00;1,00;100,00;100,00;100,00;53;54;1;54;2;1;;2
10;1YND2XM42R;0;100,00;25,00;25,00;100,00;1;25,00;25,00;100,00;1,00;100,00;100,00;100,00;31;31;0;31;2;1;;2
11;1ZAZBA1LSQ;0;100,00;27,00;100,00;100,00;1;?;?;?;1,00;100,00;100,00;100,00;46;48;2;48;2;1;;2
12;216W8XUEM3;0;75,00;18,00;25,00;72,00;0;?;?;?;0,00;73,50;73,50;73,50;39;39;0;39;1;2;;1
13;21DK23LPXC;1;100,00;Leitungsfunktion;Leitungsfunktion;100,00;1;Leitungsfunktion;Leitungsfunktion;100,00;1,00;100,00;100,00;100,00;50;51;1;51;2;1;;2
14;2BD8TTLLR1;0;94,00;23,50;25,00;94,00;1;23,50;25,00;94,00;1,00;94,00;94,00;94,00;53;54;1;54;1;2;;1
15;2DBV474UER;0;100,00;25,00;25,00;100,00;1;25,00;25,00;100,00;1,00;100,00;100,00;100,00;54;55;1;55;1;2;;1
16;2DN9DW7FW5;0;80,00;19,00;25,00;76,00;0;?;?;?;0,00;78,00;78,00;78,00;44;45;1;45;2;1;;2
17;2N36NRL4PM;0;100,00;25,00;25,00;100,00;1;25,00;25,00;100,00;1,00;100,00;100,00;100,00;41;42;1;42;2;1;;2
18;2NX43H22UA;0;100,00;24,50;25,00;98,00;0;?;?;?;0,00;99,00;99,00;99,00;28;29;1;29;1;2;;1
19;2PVFLYCCVR;0;100,00;25,00;25,00;100,00;1;25,00;25,00;100,00;1,00;100,00;100,00;100,00;45;46;1;46;2;1;;2
20;2VV83YB7T9;1;100,00;Leitungsfunktion;Leitungsfunktion;100,00;1;Leitungsfunktion;Leitungsfunktion;100,00;1,00;100,00;100,00;100,00;57;58;1;58;2;1;;2
21;2YT2A449L5;1;100,00;Leitungsfunktion;Leitungsfunktion;100,00;1;Leitungsfunktion;Leitungsfunktion;100,00;1,00;100,00;100,00;100,00;58;59;1;59;2;1;;2
22;2YY7F3A2A1;0;100,00;25,00;25,00;100,00;1;25,00;25,00;100,00;1,00;100,00;100,00;100,00;60;60;0;60;2;1;;2
23;32HMYPGH1E;0;100,00;25,00;25,00;100,00;1;25,00;25,00;100,00;1,00;100,00;100,00;100,00;29;30;1;30;1;2;;1
24;33924QDXHB;0;100,00;25,00;25,00;100,00;1;25,00;25,00;100,00;1,00;100,00;100,00;100,00;34;35;1;35;1;2;;1
25;342YR2QFM1;0;100,00;25,00;25,00;100,00;1;25,00;25,00;100,00;1,00;100,00;100,00;100,00;29;30;1;30;2;1;;2
26;36DCDPMCLC;0;100,00;25,00;25,00;100,00;1;25,00;25,00;100,00;1,00;100,00;100,00;100,00;33;34;1;34;1;2;;1
27;3B5NMLZYTN;0;100,00;25,00;25,00;100,00;1;25,00;25,00;100,00;1,00;100,00;100,00;100,00;32;33;1;33;1;2;;1
28;3CSSDB6CCP;1;100,00;Leitungsfunktion;Leitungsfunktion;100,00;1;Leitungsfunktion;Leitungsfunktion;100,00;1,00;100,00;100,00;100,00;47;48;1;48;2;1;;2
29;3DKD3Y897D;0;100,00;25,00;25,00;100,00;1;25,00;25,00;100,00;1,00;100,00;100,00;100,00;38;38;0;38;2;1;;2
30;3E6M4FMCTM;0;70,00;18,00;25,00;72,00;0;?;?;?;0,00;71,00;71,00;71,00;42;43;1;43;1;2;;1
31;3EYE9ABEWC;1;100,00;Leitungsfunktion;Leitungsfunktion;100,00;1;Leitungsfunktion;Leitungsfunktion;100,00;1,00;100,00;100,00;100,00;52;52;0;52;2;1;;2
32;3NX4XNA2AU;0;74,00;20,00;27,00;74,07;1;20,00;?;74,07;0,00;74,04;74,04;74,04;54;55;1;55;1;2;;1
33;419W7871YT;0;100,00;25,00;25,00;100,00;1;25,00;25,00;100,00;1,00;100,00;100,00;100,00;42;43;1;43;1;2;;1
34;438B4WTQK5;1;100,00;Leitungsfunktion;Leitungsfunktion;100,00;1;Leitungsfunktion;Leitungsfunktion;100,00;1,00;100,00;100,00;100,00;52;52;0;52;2;1;;2
35;44EC1LHZ7H;0;100,00;27,00;27,00;100,00;1;27,00;27,00;100,00;1,00;100,00;100,00;100,00;38;38;0;38;2;1;;2
36;4829TQKNF9;0;100,00;23,00;25,00;92,00;0;?;?;?;0,00;96,00;96,00;96,00;34;35;1;35;1;2;;1
37;4ABT4PPE4Q;0;100,00;25,00;25,00;100,00;1;25,00;25,00;100,00;1,00;100,00;100,00;100,00;54;55;1;55;2;1;;2
38;4DR4WUYTA1;0;100,00;25,00;25,00;100,00;1;25,00;25,00;100,00;1,00;100,00;100,00;100,00;37;38;1;38;1;2;;1
39;4GKHV8FPXQ;0;100,00;27,50;25,00;110,00;1;27,50;?;110,00;0,00;105,00;105,00;105,00;52;54;2;54;1;2;;1
40;4GRLD3BC6V;1;100,00;Leitungsfunktion;Leitungsfunktion;100,00;1;Leitungsfunktion;Leitungsfunktion;100,00;1,00;100,00;100,00;100,00;51;51;0;51;2;1;;2
41;4HTC1DBT77;0;60,00;15,00;25,00;60,00;1;15,00;25,00;60,00;1,00;60,00;60,00;60,00;34;36;2;36;1;2;;1
42;4HY2D224FC;0;100,00;25,00;25,00;100,00;1;25,00;25,00;100,00;1,00;100,00;100,00;100,00;58;59;1;59;1;2;;1
43;4KWHSX8T8H;0;60,00;15,00;25,00;60,00;1;15,00;25,00;60,00;1,00;60,00;60,00;60,00;50;50;0;50;1;2;;1
44;4N6BS82DS5;1;100,00;Leitungsfunktion;Leitungsfunktion;100,00;1;Leitungsfunktion;Leitungsfunktion;100,00;1,00;100,00;100,00;100,00;42;43;1;43;1;2;;1
45;4NL31RQU1R;0;100,00;25,00;25,00;100,00;1;25,00;25,00;100,00;1,00;100,00;100,00;100,00;39;40;1;40;2;1;;2
46;51WC99CADA;0;100,00;25,00;25,00;100,00;1;25,00;25,00;100,00;1,00;100,00;100,00;100,00;30;31;1;31;1;2;;1
47;52VPPKDP67;0;100,00;25,00;25,00;100,00;1;25,00;25,00;100,00;1,00;100,00;100,00;100,00;52;54;2;54;1;2;;1
48;52VTUB88X5;0;100,00;25,00;25,00;100,00;1;25,00;25,00;100,00;1,00;100,00;100,00;100,00;34;34;0;34;1;2;;1
49;56HMDN3ZCF;0;100,00;25,00;25,00;100,00;1;25,00;25,00;100,00;1,00;100,00;100,00;100,00;55;56;1;56;2;1;;2
50;595SEA9ME4;0;80,00;20,00;25,00;80,00;1;20,00;25,00;80,00;1,00;80,00;80,00;80,00;64;64;0;64;2;1;;2
51;5ADYA29CQC;0;100,00;25,00;25,00;100,00;1;25,00;25,00;100,00;1,00;100,00;100,00;100,00;56;57;1;57;1;2;;1
52;5HZWN2HXB1;0;100,00;25,00;25,00;100,00;1;25,00;25,00;100,00;1,00;100,00;100,00;100,00;30;31;1;31;1;2;;1
53;5MSZCYPLGB;1;100,00;Leitungsfunktion;Leitungsfunktion;100,00;1;Leitungsfunktion;Leitungsfunktion;100,00;1,00;100,00;100,00;100,00;47;48;1;48;1;2;;1
54;5MYT48WULY;0;40,00;10,00;25,00;40,00;1;10,00;25,00;40,00;1,00;40,00;40,00;40,00;39;40;1;40;1;2;;1
55;5TT4BRH8U7;0;60,00;15,00;25,00;60,00;1;15,00;25,00;60,00;1,00;60,00;60,00;60,00;49;49;0;49;1;2;;1
56;5UH9KHZGPK;0;100,00;25,00;25,00;100,00;1;25,00;25,00;100,00;1,00;100,00;100,00;100,00;32;33;1;33;1;2;;1
57;5XKL64SH64;0;100,00;25,00;25,00;100,00;1;25,00;25,00;100,00;1,00;100,00;100,00;100,00;56;56;0;56;1;2;;1
58;5XY1BYHY7T;0;100,00;25,00;25,00;100,00;1;25,00;25,00;100,00;1,00;100,00;100,00;100,00;39;39;0;39;2;1;;2
59;62LMV1GBLT;0;100,00;25,00;25,00;100,00;1;25,00;25,00;100,00;1,00;100,00;100,00;100,00;29;29;0;29;1;2;;1
60;658DR8AZ5H;0;83,33;26,00;25,00;104,00;0;?;?;?;0,00;104,00;83,33;Nein;49;49;0;49;1;2;;1
61;67QZ97BQ1P;0;100,00;21,00;25,00;84,00;1;?;?;84,00;0,00;84,00;100,00;Nein;38;39;1;39;1;2;;1
62;6DBGDA4TBF;0;84,00;21,00;25,00;84,00;1;21,00;25,00;84,00;1,00;84,00;84,00;84,00;42;43;1;43;1;2;;1
63;6NREWR97X6;0;80,00;20,00;25,00;80,00;1;20,00;25,00;80,00;1,00;80,00;80,00;80,00;49;50;1;50;1;2;;1
64;6U2M2VRPHE;0;88,00;22,00;25,00;88,00;1;22,00;25,00;88,00;1,00;88,00;88,00;88,00;49;50;1;50;2;1;;2
65;6UKEB2GSQS;0;63,00;18,00;27,00;66,67;0;?;?;?;0,00;64,83;64,83;64,83;49;50;1;50;1;2;;1
66;71WPYDZRH9;0;84,00;25,00;25,00;100,00;0;?;?;?;0,00;100,00;84,00;Nein;37;38;1;38;1;2;;1
67;75UX8KABY2;0;80,00;20,00;25,00;80,00;1;20,00;25,00;80,00;1,00;80,00;80,00;80,00;36;37;1;37;1;2;;1
68;79E4175E2T;0;100,00;25,00;25,00;100,00;1;25,00;25,00;100,00;1,00;100,00;100,00;100,00;38;39;1;39;1;2;;1
69;7AHDF4277G;0;100,00;25,00;25,00;100,00;1;25,00;25,00;100,00;1,00;100,00;100,00;100,00;40;41;1;41;1;2;;1
70;7CT9EYZYA2;0;100,00;25,00;25,00;100,00;1;25,00;25,00;100,00;1,00;100,00;100,00;100,00;56;56;0;56;2;1;;2
71;7DETHE8853;0;100,00;25,00;27,00;92,59;0;?;?;?;0,00;96,30;96,30;96,30;56;57;1;57;2;1;;2
72;7N3EYU7XT2;0;50,00;12,50;25,00;50,00;1;12,50;25,00;50,00;1,00;50,00;50,00;50,00;42;42;0;42;1;2;;1
