id;canceled;code;group;week;code_week;mon;tue;wed;thu;fri;sat;sun;sum2;sum;workingtimeweek1;Krankheit;corona;quarantäne;krank_;Ferien;urlaub;holidays_;elternzeit;workingtimeweek2;weekcope1;weekcope2;weekmakrostress;begin;end;duration;handover;version;MO2;DI3;MI4;DO5;FR6;SA7;SO8;;
32268;0;15AX1KGKNS;TG-3;G3W3;15AX1KGKNS_G3W3;00:00;00:00;00:00;00:00;00:00;00:00;00:00;00:00;0,00;0;;;;0;keine Arbeitszeit;keine Arbeitszeit;1;0;Ferien, im Urlaub gewesen;;;;13.06.2022 12:18;13.06.2022 12:20;94;13.06.2022 12:20;41;00:00;00:00;00:00;00:00;00:00;00:00;00:00;;
39744;0;167179BG2K;TG-3;G3W4;167179BG2K_G3W4;00:00;00:00;00:00;00:00;00:00;00:00;00:00;00:00;0,00;0;;;;0;;;0;0;kurz vor den Ferien, Abschlussklassen nicht mehr an der Schule;;;;18.07.2022 15:57;18.07.2022 15:59;108;18.07.2022 15:59;41;00:00;00:00;00:00;00:00;00:00;00:00;00:00;;
45206;0;167179BG2K;TG-3;G3W5;167179BG2K_G3W5;00:00;00:00;00:00;00:00;00:00;00:00;00:00;00:00;0,00;1;;;;0;;;0;0;;Mit der Familie geredet;Entspannt und beruhigt;;25.09.2022 21:54;25.09.2022 21:56;95;25.09.2022 21:56;41;00:00;00:00;00:00;00:00;00:00;00:00;00:00;;
38778;0;1AAGNLCCRX;TG-5;G5W3;1AAGNLCCRX_G5W3;00:00;00:00;00:00;00:00;00:00;00:00;00:00;00:00;0,00;2;;;;0;;;0;0;"Mdl. Prfgg. Die: 07:10-09:15 Aufsicht Vorber., 09:30-15:30 Prfgg. ohne Pause, Mi. nach U. Abschlusskonferenz; Do. Nachm. Notenkonferenz Angel. wg. Ausfall AL, anschl. Bem. eingetr., Ausdrucke organisiert… bis 17:30; Fr. zus. Zeugn. unterschr., gesiegelt ";Ich habe es halt gemacht ; Ich wüsste keine Alternative ;Ich möchte nur schulische Dinge schreiben ;27.06.2022 09:02;12.07.2022 15:43;1320053;12.07.2022 15:43;41;00:00;00:00;00:00;00:00;00:00;00:00;00:00;;
11316;0;1FFGLYCLWR;TG-2;G2W1;1FFGLYCLWR_G2W1;00:00;00:00;00:00;00:00;00:00;00:00;00:00;00:00;0,00;1;;;;0;;;0;0;;;;;28.03.2022 06:40;31.03.2022 10:47;274053;31.03.2022 10:48;41;00:00;00:00;00:00;00:00;00:00;00:00;00:00;;
24908;0;2DN9DW7FW5;TG-3;G3W2;2DN9DW7FW5_G3W2;00:00;00:00;00:00;00:00;00:00;00:00;00:00;00:00;0,00;2;;;;0;;;0;0;Abikorrektur in einem sehr kleinen Zeitfenster.;Nicht drüber nachdenken;Hab alles gut erledigt bekommen;Kinder haben sich gut entwickelt;09.05.2022 22:49;13.05.2022 22:29;344399;13.05.2022 22:29;41;00:00;00:00;00:00;00:00;00:00;00:00;00:00;;
5563;0;2YY7F3A2A1;TG-1;G1W1;2YY7F3A2A1_G1W1;00:00;00:00;00:00;00:00;00:00;00:00;00:00;00:00;0,00;1;;;;0;;;0;0;;Alles normal;keine Antwort;nichts. Meine Arbeitszeiten kann ich nicht angeben, da ich sie nur in diese App eingetragen habe;21.03.2022 06:25;21.03.2022 06:26;103;21.03.2022 06:26;41;00:00;00:00;00:00;00:00;00:00;00:00;00:00;;
29534;0;2YY7F3A2A1;TG-1;G1W3;2YY7F3A2A1_G1W3;00:00;00:00;00:00;00:00;00:00;00:00;00:00;00:00;0,00;1;;;;0;;;0;0;;war normal;Alles normal;nichts;30.05.2022 00:26;30.05.2022 06:36;22193;30.05.2022 06:36;41;00:00;00:00;00:00;00:00;00:00;00:00;00:00;;
42144;0;2YY7F3A2A1;TG-1;G1W5;2YY7F3A2A1_G1W5;00:00;00:00;00:00;00:00;00:00;00:00;00:00;00:00;0,00;0;;;;0;keine Arbeitszeit;;1;0;Ferien;keine Angabe ;keine Angabe ;nichts;08.08.2022 08:13;08.08.2022 08:14;98;08.08.2022 08:14;41;00:00;00:00;00:00;00:00;00:00;00:00;00:00;;
7223;0;3B5NMLZYTN;TG-1;G1W1;3B5NMLZYTN_G1W1;00:00;00:00;00:00;00:00;00:00;00:00;00:00;00:00;0,00;0;;;;0;;;0;0;Keine Klassenarbeiten angesetzt, kurz davor waren die ferien, in denen einiges vorbereitet werden konnte, es standen keine Konferenzen oder Sonderaufgaben an;Musik hören, rausgehen;;;20.03.2022 14:28;23.03.2022 11:52;249826;23.03.2022 11:52;41;00:00;00:00;00:00;00:00;00:00;00:00;00:00;;
29520;0;3B5NMLZYTN;TG-1;G1W3;3B5NMLZYTN_G1W3;00:00;00:00;00:00;00:00;00:00;00:00;00:00;00:00;0,00;2;;;;0;;;0;0;Zweitkorrektur Abitur in zwei Fächern mit ziemlich kurzem Korrekturzeitraum;Eigentlich ist mir das gar nicht gelungen. ;Gar nicht;Küchenplanung unter Zeitdruck, krankes Kind, Komplikationen bei Planung Hausbau ;29.05.2022 23:09;29.05.2022 23:11;130;29.05.2022 23:11;41;00:00;00:00;00:00;00:00;00:00;00:00;00:00;;
42157;0;3B5NMLZYTN;TG-1;G1W5;3B5NMLZYTN_G1W5;00:00;00:00;00:00;00:00;00:00;00:00;00:00;00:00;0,00;1;;;;0;;;0;0;;;;;08.08.2022 22:36;08.08.2022 22:37;73;08.08.2022 22:37;41;00:00;00:00;00:00;00:00;00:00;00:00;00:00;;
17276;0;4GKHV8FPXQ;TG-5;G5W1;4GKHV8FPXQ_G5W1;00:00;00:00;00:00;00:00;00:00;00:00;00:00;00:00;0,00;0;;;;0;;keine Arbeitszeit;1;0;Halbe Urlaubswoche;kaum Stress ;;wenig Stress,  kaum Schüler- oder Kollegenkontakt;18.04.2022 08:56;18.04.2022 08:58;121;18.04.2022 08:58;41;00:00;00:00;00:00;00:00;00:00;00:00;00:00;;
28139;0;52VPPKDP67;TG-5;G5W2;52VPPKDP67_G5W2;00:00;00:00;00:00;00:00;00:00;00:00;00:00;00:00;0,00;0;;;;0;;;0;0;Ich hatte an drei Tagen Migräne und war nicht in der Lage voll zu arbeiten. Die Tätigkeiten am Sonntag, 22.5. sind nicht voll erfasst, da ich abends nicht mehr in der Lage war die abends gearbeiteten Stunden einzutragen.;Ich habe zwischenzeitlich autogenes Training gemacht;Ich konnte dadurch weiterarbeiten;;23.05.2022 13:29;23.05.2022 13:32;208;23.05.2022 13:32;41;00:00;00:00;00:00;00:00;00:00;00:00;00:00;;
25018;0;5ADYA29CQC;TG-4;G4W2;5ADYA29CQC_G4W2;00:00;00:00;00:00;00:00;00:00;00:00;00:00;00:00;0,00;1;;;;0;;;0;0;;;;;15.05.2022 16:10;15.05.2022 16:12;94;15.05.2022 16:12;41;00:00;00:00;00:00;00:00;00:00;00:00;00:00;;
32233;0;5MYT48WULY;TG-3;G3W3;5MYT48WULY_G3W3;00:00;00:00;00:00;00:00;00:00;00:00;00:00;00:00;0,00;0;;;;0;;;0;0;;;;Urlaub: sehr erholsam! Fühle mich so, als könnte ich die letzten 6 Wochen eventuell bewältigen;12.06.2022 22:49;12.06.2022 22:51;97;12.06.2022 22:51;41;00:00;00:00;00:00;00:00;00:00;00:00;00:00;;
35019;0;5XKL64SH64;TG-5;G5W3;5XKL64SH64_G5W3;00:00;00:00;00:00;00:00;00:00;00:00;00:00;00:00;0,00;2;;;;0;;;0;0;einige Vertretungsstunden, planen von Notenkonferenzen und mündlichen Prüfungen , zusätzlich mussten Prüfungsaufgaben für Schulabschlussprüfung erstellt werden. ;Sport und Musik als Ausgleich ;unbedingt notwendig um wenigstens kurzfristig abzuschalten;;26.06.2022 21:30;26.06.2022 21:36;369;26.06.2022 21:36;41;00:00;00:00;00:00;00:00;00:00;00:00;00:00;;
47618;0;7DETHE8853;TG-5;G5W5;7DETHE8853_G5W5;00:00;00:00;00:00;00:00;00:00;00:00;00:00;00:00;0,00;2;;;;0;;;0;0;Die anfallende Arbeit im Stundenplan- und Vertretungsplan war aufgrund hoher Krankheitszahlen und notwendiger Stundenplanänderungen stark angestiegen. Dazu kam, dass Krankmeldungen erst kurz vor Dienstende mitgeteilt wurden.;;;;09.10.2022 10:03;09.10.2022 10:07;246;09.10.2022 10:07;41;00:00;00:00;00:00;00:00;00:00;00:00;00:00;;
7249;0;7T62VN7BHK;TG-1;G1W1;7T62VN7BHK_G1W1;00:00;00:00;00:00;00:00;00:00;00:00;00:00;00:00;0,00;0;;;;0;;;0;0;;;;;20.03.2022 16:04;23.03.2022 12:20;245781;23.03.2022 12:20;41;00:00;00:00;00:00;00:00;00:00;00:00;00:00;;
15176;0;8GAY2ARAX1;TG-4;G4W1;8GAY2ARAX1_G4W1;00:00;00:00;00:00;00:00;00:00;00:00;00:00;00:00;0,00;0;;;;0;;;0;0;Am Dienstag fiel der Unterricht aus, weil die Klassen einen Vorbereitungstag für die AP1 hatten, die am Mittwoch stattfand.;Zwischendurch etwas anderes getan.;Relativ hilfreich.;;10.04.2022 22:11;10.04.2022 22:17;396;10.04.2022 22:17;41;00:00;00:00;00:00;00:00;00:00;00:00;00:00;;
32164;0;8SGNLCX7TR;TG-3;G3W3;8SGNLCX7TR_G3W3;00:00;00:00;00:00;00:00;00:00;00:00;00:00;00:00;0,00;0;;;;0;;keine Arbeitszeit;1;0;Ich habe mit meiner Familie 5 Tage Urlaub gemacht.;;;Nein;12.06.2022 00:08;12.06.2022 00:10;114;12.06.2022 00:10;41;00:00;00:00;00:00;00:00;00:00;00:00;00:00;;
17296;0;8UQ5ELUKQW;TG-5;G5W1;8UQ5ELUKQW_G5W1;00:00;00:00;00:00;00:00;00:00;00:00;00:00;00:00;0,00;1;;;;0;;;0;0;;;;;18.04.2022 13:14;18.04.2022 13:15;34;18.04.2022 13:15;41;00:00;00:00;00:00;00:00;00:00;00:00;00:00;;
34841;0;8UQ5ELUKQW;TG-5;G5W3;8UQ5ELUKQW_G5W3;00:00;00:00;00:00;00:00;00:00;00:00;00:00;00:00;0,00;2;;;;0;;;0;0;Kurz vor Abschlussprüfung 1BFE, Klassenarbeiten erstellen;;;Beschwerden im Lendenwirbelbereich, dadurch Schlaf sehr beeinträchtigt, Arztbesuch;26.06.2022 10:57;26.06.2022 11:01;214;26.06.2022 11:01;41;00:00;00:00;00:00;00:00;00:00;00:00;00:00;;
47635;0;8UQ5ELUKQW;TG-5;G5W5;8UQ5ELUKQW_G5W5;00:00;00:00;00:00;00:00;00:00;00:00;00:00;00:00;0,00;1;;;;0;;;0;0;;;;;09.10.2022 13:10;09.10.2022 13:11;29;09.10.2022 13:11;41;00:00;00:00;00:00;00:00;00:00;00:00;00:00;;
