id;learn_descr;other_descr;cat_1;code_id_1;code_1;code_id_2;code_2;weitere Kategorien / nochmal prüfen;category_1;remark;
2320;allgemeine informationen zu unterricht ;;;1A8;Other Job-specific Knowledge and Skills;;;;Other Job-specific Knowledge and Skills;;
2331;fachliches;;;1A1;Content Knowledge and Skills;;;;Content Knowledge and Skills;;
2339;;;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
2342;methodik und didaktik;unterrichtsmitschau;;1A2;Pedagogical Knowledge and Skills;;;;Pedagogical Knowledge and Skills;;
2345;umgang mit sus;;;1A2;Pedagogical Knowledge and Skills;;;x;Pedagogical Knowledge and Skills;;
2378;;;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
2379;keine ;;nothing was learned;;;;;;nothing was learned;;
2384;;;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
2385;umgang mit schwierigen klassen;;;1A2;Pedagogical Knowledge and Skills;;;x;Pedagogical Knowledge and Skills;;
2386;;Fachfremder Unterricht, viele Dinge im Detail so noch nicht gewusst. Internetseiten erstellen, Informatik Unterricht ;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
2390;;;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
2392;ihk-abschlussprüfungsablauf, thema report durch besuch eines ehemaligen schülers/referent;Ich hatte keinen Stress. ;;1a4;Job-specific Organisational Knowledge and Skills;;;;Job-specific Organisational Knowledge and Skills;;
2393;;;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
2394;;;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
2397;;;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
2399;ruhig bleiben am telefon, gespräche beenden, die sich im kreis drehen.;;;2a5;Communication and Collaboration skills;;;x;Communication and Collaboration skills;;
2415;zeit einzusparen;;;2a2;Time management;;;;Time management;;
2424;scjülerversuche optimieren;nein;;1a2;Pedagogical Knowledge and Skills;;;;Pedagogical Knowledge and Skills;;
2430;;;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
2431;;;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
2432;;Doppelstunde unterricht in 2 verschiedenen Klassen in unterschiedlichen Fächern. Raumwechsel ohne Pause ;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
2441;;SuS haben Hausaufgaben nicht gemacht ;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
2449;-;-;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
2456;"unterricht weiterentwickeln
";;;1A2;Pedagogical Knowledge and Skills;1A1;Content Knowledge and Skills;;Pedagogical Knowledge and Skills;;
2457;soziale beziehungen zu kollegen gestärkt;;;9;Yet to categorize;;;x;Yet to categorize;;
2458;"unterrichten in kleinen lerngruppen
";;;1a2;Pedagogical Knowledge and Skills;;;;Pedagogical Knowledge and Skills;;
2473;"
";;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
2474;keine;nein;nothing was learned;;;;;;nothing was learned;;
2482;;;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
2487;9er sind anstrengend ;nein;;3B;Perception of work characteristics;;;;Perception of work characteristics;;
2489;wissen zum neuen (erstmals zu unterrichtenden) unterrichtsthema vertieft;;;1A1;Content Knowledge and Skills;;;;Content Knowledge and Skills;;
2490;wünsche der schüler erfasst (sie wünschen analoge statt digitale ergebnissicherung);;;;;;;;;;
2501;weniger lehrerzentrierte phasen ;;;1a2;Pedagogical Knowledge and Skills;;;;Pedagogical Knowledge and Skills;;
2509;weniger lehrerzentrierte phasen;;;1a2;Pedagogical Knowledge and Skills;;;;Pedagogical Knowledge and Skills;;
2512;ich muss zwei anpassugen auf einem arbeitsblatt durchführen.;;;;;;;;;;
2520;leistungsbewertung bei referaten;;;1a2;Pedagogical Knowledge and Skills;;;;Pedagogical Knowledge and Skills;;
2532;hybridunterricht vorbereiten ;Hybridunterricht ist Stress pur;;1a8;Other Job-specific Knowledge and Skills;;;;Other Job-specific Knowledge and Skills;;
2533;hybridunterricht;Hybridunterricht ist Stress pur;;4b;No Learning Outcome mentioned;;;x;No Learning Outcome mentioned;;
2543;;;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
2547;;;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
2550;keine;nein;nothing was learned;;;;;;nothing was learned;;
2551;;;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
2553;;;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
2556;;;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
2561;;;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
2572;;;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
2576;neue lerninhalte;;;1A1;Content Knowledge and Skills;;;;Content Knowledge and Skills;;
2578;keine;;nothing was learned;;;;;;nothing was learned;;
2597;lehrer-schüler-beziehung;;;;;;;;;;
2598;didaktik ;;;1A2;Pedagogical Knowledge and Skills;;;;Pedagogical Knowledge and Skills;;
2601;;;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
2603;;;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
2608;abstimmung mit kollegen hilft den eigenen unterricht zu planen und strukturieren.;;;1a2;Pedagogical Knowledge and Skills;;;x;Pedagogical Knowledge and Skills;;
2609;;;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
2610;;;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
2623;jeder unterricht ist anders. ich lerne immer wieder dazu.;;;1A8;Other Job-specific Knowledge and Skills;;;;Other Job-specific Knowledge and Skills;;
2628;;Klasse hat viele Regelverstöße begangen;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
2632;;Anruf eines Kollegen während der Mittagspause ;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
2660;material erhalten;;;4B;No Learning Outcome mentioned;;;x;No Learning Outcome mentioned;;
2662;;;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
2669;wissen über nachteilsausgleich erweitert;;;;;;;;;;
2672;;;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
2682;;Sehr leistungsstarke Klasse, daher ist der Unterricht mit vielen Rückfragen/kritischer auseinandersetzung verbunden - das verursacht stress, obwohl das natürlich auch etwas positives ist;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
2687;;;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
2704;die möglichkeit, bei der caritas auch einen zeitnahen beratungstermin für einen depressiven jugendlichen zu erhalten. sehr positiv.;Balance zwischen Zuwendung geben und Abgrenzen gut, ist aber mit Einsatz von emotionaler und intellektueller Energie verbunden. Weitere Gefährdung des Jugendlichen muss bei jedem Kontakt eingeschätzt werden.;;;;;;;;;
2707;;;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
2714;"ansprachen im team; schtweisen der al kollegen";"Kurzfristige Übernahme der Protokollfühung, da Kollege erkrankt; ";;;;;;;;;
2717;neues thema geordnet ;;;1A1;Content Knowledge and Skills;;;;Content Knowledge and Skills;;
2718;;;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
2719;;;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
2720;experiment mit kollege erprobt;Positive Kollegenbeziehung, macht Spaß;;;;;;;;;
2721;;;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
2722;;Anfrage und Unterstützungsanfragen von SuS in Quarantäne (Abschlussklasse) bedeutet weiterer Handlungsbedarf und Zeit. Gleichzeitig bin ich in der Qualitätssicherung für eine Prüfung.;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
2725;;;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
2728;;;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
2730;;;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
2733;;;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
2736;;extrem heterogene SuS, unterschiedliches Lerntemlo/Vorwissen, viele Störungen (SuS teils nicht zu Unterricht bereit);no learning outcome mentioned;;;;;;no learning outcome mentioned;;
2737;;;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
2738;;;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
2739;;einzelne SuS nicht unterrichtsfähig (keine Kernhaltung, kein Interesse);no learning outcome mentioned;;;;;;no learning outcome mentioned;;
2740;;;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
2742;;;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
2743;;;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
2747;digitale tools;;;1A3;Technological Knowledge and Skills;;;;Technological Knowledge and Skills;;
2752;;GLK;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
2757;die klasse muss zum zeichen extra motiviert werden ;;;;;;;;;;
2759;speziell diese klasse ist sehr langsam ;;;;;;;;;;
2762;;;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
2765;;;no learning outcome mentioned;;;;;;no learning outcome mentioned;;
2785;keine;Personalgespräch, Probleme der Kollegen;nothing was learned;;;;;;nothing was learned;;
