"id","code","sex","age","jobscope","gvUser","act_no","activity","other","stress","coping","pc_learn","learn_descr","other_descr","begin_date","begin_time","end_date","end_time","Begin","End","Duration","Handover","n_entry","sickness","cat_1","cat_2","cat_2_en","cat_1_en","n_id"
11795,"342YR2QFM1",1,30,100,"Teilnahme-Gruppe-3",3,"Unterricht: Vor- und Nachbereitung und Leistungsfeststellung","",5,5,7,"einfach nicht nachts arbeiten… leichter gessgt als getan","","31.03.2022","23:30","31.03.2022","23:59","01.04.2022 07:29","01.04.2022 07:31",133,"01.04.2022 07:31",3,NA,"situationsdiagnostik","kompetenz","competence","situational diagnostics",1
11826,"NNYQXQTFDD",0,54,100,"",1,"Unterricht: Eigenen Unterricht halten","",3,3,1,"niveau der schüler durch corona stark gesunken","","01.04.2022","07:50","01.04.2022","15:02","01.04.2022 08:15","01.04.2022 08:17",113,"01.04.2022 08:17",1,NA,"situationsdiagnostik","kompetenz","competence","situational diagnostics",1
11874,"SBB2KCHZ78",1,33,100,"Teilnahme-Gruppe-3",6,"Interaktion mit Kollegen:innen","",0,0,3,"schulsystem und unterrichtsmethoden","","01.04.2022","12:00","01.04.2022","13:15","01.04.2022 09:39","01.04.2022 09:40",60,"01.04.2022 09:40",4,NA,"wissenserweiterung","kompetenz","competence","expansion of knowledge",2
11874,"SBB2KCHZ78",1,33,100,"Teilnahme-Gruppe-3",6,"Interaktion mit Kollegen:innen","",0,0,3,"schulsystem und unterrichtsmethoden","","01.04.2022","12:00","01.04.2022","13:15","01.04.2022 09:39","01.04.2022 09:40",60,"01.04.2022 09:40",4,NA,"lernen neuer arbeitsmethoden","kompetenz","competence","learning new working methods",2
11877,"SBB2KCHZ78",1,33,100,"Teilnahme-Gruppe-3",4,"Tätigkeiten als Klassenlehrer:in außerhalb der Unterrichtszeit","",4,6,2,"krankmeldungen digital zu verwalten","Programm nicht so zügig als Papierform","01.04.2022","15:05","01.04.2022","16:00","01.04.2022 09:42","01.04.2022 09:44",93,"01.04.2022 09:44",6,NA,"wissenserweiterung","kompetenz","competence","expansion of knowledge",1
11899,"8SGNLCX7TR",1,48,100,"",26,"Schülerangelegenheiten","",0,0,3,"beim telefonat mit der bteilungsleiterin einer benachbarten schule habe ich neben unserem hauptthema auch infos zur gestrigen dienstbesprechung erhalten.","","01.04.2022","09:40","01.04.2022","10:00","01.04.2022 10:55","01.04.2022 11:01",409,"01.04.2022 11:06",3,NA,"wissenserweiterung","kompetenz","competence","expansion of knowledge",1
11900,"8SGNLCX7TR",1,48,100,"",10,"Pause","",5,2,7,"meine assistentin, die mich bei der gestrigen dienstbesprechung für abteilungsleiter vertreten hat, hat mich über die wichtigsten informationen gebrieft","Stress bereitet mir das Wissen, dass ich mich jetzt nachträglich neben dem laufenden Geschäft in die Infos der 2,5 stündigen Dienstbesprechung einarbeiten muss um das Kollegium zeitnah informieren zu können.","01.04.2022","09:20","01.04.2022","09:40","01.04.2022 11:02","01.04.2022 11:06",289,"01.04.2022 11:06",4,NA,"wissenserweiterung","kompetenz","competence","expansion of knowledge",1
11945,"CRRY6A16PY",0,55,100,"",1,"Unterricht: Eigenen Unterricht halten","",1,6,3,"nav 2018 kann in der übungsdatenbank wie in der firmen db eingesetzt werden, wenn die schüler sich nicht unter ihrer nummer anmelden.","Schade, weil am Dienstag die dazugehörige Fortbildung war wo das nicht gesagt wurde","01.04.2022","09:40","01.04.2022","12:50","01.04.2022 13:02","01.04.2022 13:05",145,"01.04.2022 13:05",4,NA,"situationsdiagnostik","kompetenz","competence","situational diagnostics",1
11985,"AQDG3LHGBE",0,52,100,"Teilnahme-Gruppe-3",18,"Mitarbeit in Projekten","",0,0,6,"kooperation ist nützlich, networking","","01.04.2022","11:31","01.04.2022","17:45","01.04.2022 13:48","01.04.2022 13:50",88,"01.04.2022 13:50",3,NA,"gemeinsame planung und problemlösung","performanz","performance","joint planning and problem solving",1
12015,"LVZKXTLC5D",1,52,100,"Teilnahme-Gruppe-3",6,"Interaktion mit Kollegen:innen","",0,0,2,"bedienung whiteboard","","01.04.2022","13:31","01.04.2022","14:31","01.04.2022 14:31","01.04.2022 14:31",40,"01.04.2022 14:31",7,NA,"wissenserweiterung","kompetenz","competence","expansion of knowledge",1
