"","learn_descr","learning_outcome","cat_1"
"1","kommunikation ein elternteil ",NA,NA
"2","schüler und aufräumen ",NA,NA
"3","unterricht vorbereiten ",NA,NA
"4","kollegialer austausch ",NA,NA
"5","testung durchführen ",NA,NA
"6","unterricht ",NA,NA
"7","entspannt bleiben ",NA,NA
"8","der mir zugewiesene raum der klassenarbeit war fehlgebucht,da für prüfung ab 9.00 uhr geplant,musste alternative suchen.",NA,NA
"9","korrektur von prüfungen ",NA,NA
"10","klassenarbeit klasse 12 unproblematisch",NA,NA
"11","unterbrechung der pause durch abgabe der drittkorrekturen",NA,NA
"12","vertrauen ist gut, kontrolle ist besser",NA,NA
"13","fachwissen ",NA,NA
"14","fachliche weiterbildung ",NA,NA
"15","neue inhalte ",NA,NA
"16","untis erzeugt neue fehler/abstürze",NA,NA
"17","- organisieren der arbeitsumgebung für neues schuljahr ",NA,NA
"18","in der ruhe liegt die kraft ",NA,NA
"19","prüfungsvorbereitungskurs ",NA,NA
"20","vorbereitung fernunterricht ",NA,NA
"21","tv-prüfung pc vorbereiten ",NA,NA
"22","kopieren ",NA,NA
"23","vorbereitungen ",NA,NA
"24","unterrichtsinhalte aufbereitet ",NA,NA
"25","zeugnisdatum, regelungen ",NA,NA
"26","prüfungsaufsicht ",NA,NA
"27","fernunterricht ",NA,NA
"28","neue fachliche erkenntnisse ",NA,NA
"29","bisher unbekannte fabel gefunden ",NA,NA
"30","abschalten ist fast nicht möglich, selbst in den pausen ist man am hirnen. dies würde sich nur ändern, wenn man das haus verlässt!",NA,NA
"31","klassenarbeit geschrieben ",NA,NA
"32","arbeitsblätter angefertigt ",NA,NA
"33","thema bisher nicht unterrichtet ",NA,NA
"34","wenn die hälfte der klasse 2 wochen auf üba war, dann bekommt man die wissenstände innerhalb von vier stunden kaum angeglichen.",NA,NA
"35","in ruhe gearbeitet ",NA,NA
"36","parallel zum eigenen unterricht ",NA,NA
"37","austausch an information ",NA,NA
"38","aufklärung ",NA,NA
"39","deputatsgespräch führen ",NA,NA
"40","webinar besucht ",NA,NA
"41","ruhige klasse ",NA,NA
"42","einstieg in die neue lektüre ",NA,NA
"43","dass eine kollegin dieselben situationen als energieräuber wahrnimmt wie ichund auch dieselben lösungen findet wie ich",NA,NA
"44","es gibt nichts was es nicht gibt ",NA,NA
"45","zeugnisse kontrollieren ",NA,NA
"46","zeugnisübergabe ",NA,NA
"47","neues thema erarbeitet ",NA,NA
"48","ab anpassen ",NA,NA
"49","nextcloud einrichten als künftiges intranet, basics",NA,NA
"50","funktion von kompetenzrastern",NA,NA
"51","prüfungsunterlagen vorbereiten ",NA,NA
"52","zu wenig kopierer! ",NA,NA
"53","normale unterrichtsvorbereitung ",NA,NA
"54","war alles zu erwarten ",NA,NA
"55"," formulieren von briefen zum versand von prüfungsarbeiten des abiturs mit nachprüfung ",NA,NA
"56","abi-korrektur
",NA,NA
"57","infos über schüler ",NA,NA
"58","nie wieder seminarkurs ",NA,NA
"59","beurteilungsfehler erkennen ",NA,NA
"60","organisation ",NA,NA
