no.;code;fragebogen;entry TBS;deputat FBS;deputat Vollzeit FBS;jobscope FBS;Übereinstimmung jobscope;Arbeitszeit TBS;Arbeitszeit WR;Arbeitszeit FBS;deputat;deputat_full;jobscope;jobscope FBS2;jobscope TBS;Spalte1;age_tbs;age_fbs;age_Übereinstimmung;age;gender_tbs;gender_fbs;Änderung gender;gender
1;153ZW1T69Y;1;90,00;22,00;25,00;88,00;0;#BEZUG!;#BEZUG!;48,00;?;?;?;Nein;;Prüfen;50;51;1;51;1;2;;1
2;1AAGNLCCRX;1;100,00;25,00;25,00;100,00;1;#BEZUG!;#BEZUG!;46,00;25,00;25,00;100,00;Nein;;Prüfen;57;57;0;57;1;2;;1
3;1BGXRNDR9F;1;100,00;24,00;25,00;96,00;0;#BEZUG!;#BEZUG!;32,00;?;?;?;Nein;;Prüfen;54;54;0;54;2;1;;2
4;1DBEPMC37N;1;85,00;21,00;25,00;84,00;0;#BEZUG!;#BEZUG!;29,00;?;?;?;Nein;;Prüfen;37;37;0;37;1;2;;1
5;1FFGLYCLWR;1;92,00;23,00;25,00;92,00;1;#BEZUG!;#BEZUG!;42,00;23,00;25,00;92,00;Nein;;Prüfen;56;57;1;57;1;2;;1
6;1PWT9DU91K;1;80,00;20,00;25,00;80,00;1;#BEZUG!;#BEZUG!;35,00;20,00;25,00;80,00;Nein;;Prüfen;51;52;1;52;1;2;;1
7;1R32ELUGQQ;1;"75; 72; 76";18,00;25,00;72,00;1;#BEZUG!;#BEZUG!;35,00;?;?;72,00;#WERT!;;#WERT!;53;54;1;54;1;2;;1
8;1SLGWNKAAV;2;80,00;Leitungsfunktion;Leitungsfunktion;80,00;1;#BEZUG!;#BEZUG!;42,00;Leitungsfunktion;Leitungsfunktion;80,00;Nein;;Prüfen;50;51;1;51;1;2;;1
9;1WUZA5YKRW;1;100,00;25,00;25,00;100,00;1;#BEZUG!;#BEZUG!;42,00;25,00;25,00;100,00;Nein;;Prüfen;53;54;1;54;2;1;;2
10;1YND2XM42R;1;100,00;25,00;25,00;100,00;1;#BEZUG!;#BEZUG!;42,00;25,00;25,00;100,00;Nein;;Prüfen;31;31;0;31;2;1;;2
11;1ZAZBA1LSQ;1;100,00;27,00;28,00;96,43;0;#BEZUG!;#BEZUG!;48,00;?;?;?;Nein;;Prüfen;46;48;2;48;2;1;;2
12;216W8XUEM3;1;75,00;18,00;25,00;72,00;0;#BEZUG!;#BEZUG!;36,00;?;?;?;Nein;;Prüfen;39;39;0;39;1;2;;1
13;21DK23LPXC;2;100,00;Leitungsfunktion;Leitungsfunktion;100,00;1;#BEZUG!;#BEZUG!;51,00;Leitungsfunktion;Leitungsfunktion;100,00;Nein;;Prüfen;50;51;1;51;2;1;;2
14;2BD8TTLLR1;1;94,00;23,50;25,00;94,00;1;#BEZUG!;#BEZUG!;42,00;23,50;25,00;94,00;Nein;;Prüfen;53;54;1;54;1;2;;1
15;2DBV474UER;1;100,00;25,00;25,00;100,00;1;#BEZUG!;#BEZUG!;53,00;25,00;25,00;100,00;Nein;;Prüfen;54;55;1;55;1;2;;1
16;2DN9DW7FW5;1;80,00;19,00;25,00;76,00;0;#BEZUG!;#BEZUG!;43,00;?;?;?;Nein;;Prüfen;44;45;1;45;2;1;;2
17;2N36NRL4PM;1;100,00;25,00;25,00;100,00;1;#BEZUG!;#BEZUG!;48,00;25,00;25,00;100,00;Nein;;Prüfen;41;42;1;42;2;1;;2
18;2NX43H22UA;1;100,00;24,50;25,00;98,00;0;#BEZUG!;#BEZUG!;55,00;?;?;?;Nein;;Prüfen;28;29;1;29;1;2;;1
19;2PVFLYCCVR;1;100,00;25,00;25,00;100,00;1;#BEZUG!;#BEZUG!;40,00;25,00;25,00;100,00;Nein;;Prüfen;45;46;1;46;2;1;;2
20;2VV83YB7T9;2;100,00;Leitungsfunktion;Leitungsfunktion;100,00;1;#BEZUG!;#BEZUG!;56,00;Leitungsfunktion;Leitungsfunktion;100,00;Nein;;Prüfen;57;58;1;58;2;1;;2
21;2YT2A449L5;2;100,00;Leitungsfunktion;Leitungsfunktion;100,00;1;#BEZUG!;#BEZUG!;50,00;Leitungsfunktion;Leitungsfunktion;100,00;Nein;;Prüfen;58;59;1;59;2;1;;2
22;2YY7F3A2A1;1;100,00;25,00;25,00;100,00;1;#BEZUG!;#BEZUG!;52,00;25,00;25,00;100,00;Nein;;Prüfen;60;60;0;60;2;1;;2
23;32HMYPGH1E;1;100,00;25,00;25,00;100,00;1;#BEZUG!;#BEZUG!;50,00;25,00;25,00;100,00;Nein;;Prüfen;29;30;1;30;1;2;;1
24;33924QDXHB;1;100,00;25,00;25,00;100,00;1;#BEZUG!;#BEZUG!;45,00;25,00;25,00;100,00;Nein;;Prüfen;34;35;1;35;1;2;;1
25;342YR2QFM1;1;100,00;25,00;25,00;100,00;1;#BEZUG!;#BEZUG!;47,00;25,00;25,00;100,00;Nein;;Prüfen;29;30;1;30;2;1;;2
26;36DCDPMCLC;1;100,00;25,00;25,00;100,00;1;#BEZUG!;#BEZUG!;43,00;25,00;25,00;100,00;Nein;;Prüfen;33;34;1;34;1;2;;1
27;3B5NMLZYTN;1;100,00;25,00;25,00;100,00;1;#BEZUG!;#BEZUG!;40,50;25,00;25,00;100,00;Nein;;Prüfen;32;33;1;33;1;2;;1
28;3CSSDB6CCP;2;100,00;Leitungsfunktion;Leitungsfunktion;100,00;1;#BEZUG!;#BEZUG!;50,00;Leitungsfunktion;Leitungsfunktion;100,00;Nein;;Prüfen;47;48;1;48;2;1;;2
29;3DKD3Y897D;1;100,00;25,00;25,00;100,00;1;#BEZUG!;#BEZUG!;50,00;25,00;25,00;100,00;Nein;;Prüfen;38;38;0;38;2;1;;2
30;3E6M4FMCTM;1;70,00;18,00;25,00;72,00;0;#BEZUG!;#BEZUG!;40,00;?;?;?;Nein;;Prüfen;42;43;1;43;1;2;;1
31;3EYE9ABEWC;2;100,00;Leitungsfunktion;Leitungsfunktion;100,00;1;#BEZUG!;#BEZUG!;51,00;Leitungsfunktion;Leitungsfunktion;100,00;Nein;;Prüfen;52;52;0;52;2;1;;2
32;3NX4XNA2AU;1;74,00;20,00;27,00;74,07;1;#BEZUG!;#BEZUG!;34,00;20,00;?;74,07;Nein;;Prüfen;54;55;1;55;1;2;;1
33;419W7871YT;1;100,00;25,00;25,00;100,00;1;#BEZUG!;#BEZUG!;30,00;25,00;25,00;100,00;Nein;;Prüfen;42;43;1;43;1;2;;1
34;438B4WTQK5;2;100,00;Leitungsfunktion;Leitungsfunktion;100,00;1;#BEZUG!;#BEZUG!;47,00;Leitungsfunktion;Leitungsfunktion;100,00;Nein;;Prüfen;52;52;0;52;2;1;;2
35;44EC1LHZ7H;1;100,00;27,00;27,00;100,00;1;#BEZUG!;#BEZUG!;50,00;27,00;27,00;100,00;Nein;;Prüfen;38;38;0;38;2;1;;2
36;4829TQKNF9;1;100,00;23,00;25,00;92,00;0;#BEZUG!;#BEZUG!;55,00;?;?;?;Nein;;Prüfen;34;35;1;35;1;2;;1
37;4ABT4PPE4Q;1;100,00;25,00;25,00;100,00;1;#BEZUG!;#BEZUG!;47,00;25,00;25,00;100,00;Nein;;Prüfen;54;55;1;55;2;1;;2
38;4DR4WUYTA1;1;100,00;25,00;25,00;100,00;1;#BEZUG!;#BEZUG!;40,00;25,00;25,00;100,00;Nein;;Prüfen;37;38;1;38;1;2;;1
39;4GKHV8FPXQ;1;100,00;27,50;25,00;110,00;1;#BEZUG!;#BEZUG!;55,00;27,50;?;110,00;Nein;;Prüfen;52;54;2;54;1;2;;1
40;4GRLD3BC6V;2;100,00;Leitungsfunktion;Leitungsfunktion;100,00;1;#BEZUG!;#BEZUG!;55,00;Leitungsfunktion;Leitungsfunktion;100,00;Nein;;Prüfen;51;51;0;51;2;1;;2
41;4HTC1DBT77;1;60,00;15,00;25,00;60,00;1;#BEZUG!;#BEZUG!;35,00;15,00;25,00;60,00;Nein;;Prüfen;34;36;2;36;1;2;;1
42;4HY2D224FC;1;100,00;25,00;25,00;100,00;1;#BEZUG!;#BEZUG!;50,00;25,00;25,00;100,00;Nein;;Prüfen;58;59;1;59;1;2;;1
43;4KWHSX8T8H;1;60,00;15,00;25,00;60,00;1;#BEZUG!;#BEZUG!;30,00;15,00;25,00;60,00;Nein;;Prüfen;50;50;0;50;1;2;;1
44;4N6BS82DS5;2;100,00;Leitungsfunktion;Leitungsfunktion;100,00;1;#BEZUG!;#BEZUG!;60,00;Leitungsfunktion;Leitungsfunktion;100,00;Nein;;Prüfen;42;43;1;43;1;2;;1
45;4NL31RQU1R;1;100,00;25,00;25,00;100,00;1;#BEZUG!;#BEZUG!;48,00;25,00;25,00;100,00;Nein;;Prüfen;39;40;1;40;2;1;;2
46;51WC99CADA;1;100,00;25,00;25,00;100,00;1;#BEZUG!;#BEZUG!;40,00;25,00;25,00;100,00;Nein;;Prüfen;30;31;1;31;1;2;;1
47;52VPPKDP67;1;100,00;25,00;25,00;100,00;1;#BEZUG!;#BEZUG!;54,00;25,00;25,00;100,00;Nein;;Prüfen;52;54;2;54;1;2;;1
48;52VTUB88X5;1;100,00;25,00;25,00;100,00;1;#BEZUG!;#BEZUG!;40,00;25,00;25,00;100,00;Nein;;Prüfen;34;34;0;34;1;2;;1
49;56HMDN3ZCF;1;100,00;25,00;25,00;100,00;1;#BEZUG!;#BEZUG!;53,50;25,00;25,00;100,00;Nein;;Prüfen;55;56;1;56;2;1;;2
50;595SEA9ME4;1;80,00;20,00;25,00;80,00;1;#BEZUG!;#BEZUG!;37,50;20,00;25,00;80,00;Nein;;Prüfen;64;64;0;64;2;1;;2
51;5ADYA29CQC;1;100,00;25,00;25,00;100,00;1;#BEZUG!;#BEZUG!;46,00;25,00;25,00;100,00;Nein;;Prüfen;56;57;1;57;1;2;;1
52;5HZWN2HXB1;1;100,00;25,00;25,00;100,00;1;#BEZUG!;#BEZUG!;60,00;25,00;25,00;100,00;Nein;;Prüfen;30;31;1;31;1;2;;1
