pc_learn;learning_outcome;cat_1;cat_2
2;"- Absprachen zum gemeinsammen Unterricht
- Stimmungslage eruieren";Nichts;
5;- Aktuelle Informationen;Wissenserweiterung;
1;- Aufgaben des Kollegen ad hoc übernommen;Nichts;
0;- Korrekturen von KA;Nichts;
0;- Organisieren der Arbeitsumgebung für neues Schuljahr;Nichts;
1;- Tücken der Onlineberatung;Wissenserweiterung;
2;Abends bin ich zu müde zum Korrigieren, es passieren mehr Fehler;Situationsdiagnostik;
5;(Schwierige) Beratungsgespräche im Schulalltag meistern, Grenzen, Kooperationen und Unterstützungssysteme kennenlernen;Situationsdiagnostik;
0;??? Aufgabenverteilung, wer macht was an Aufsicht bei Probeprojektprüfung am heutigen Tag;Nichts;
0;1. Pause am Tag wieder viel zu spät;Nichts;
1;4 PL in der Logistik geblickt;Nichts;
5;4-Jahres-Kolloquium;Nichts;
0;6 Lehrergespräche, Organisation zum Stundenplan;Nichts;
2;"Abends nichts mehr anfangen 
";Situationsdiagnostik;
0;An diesem Kurs hätte ich schon viel früher teilnehmen sollen;Fähigkeit zur Selbstreflexion;
1;9er sind anstrengend;Situationsdiagnostik;
0;A13 rückt Tische und Stühle und besorgt Stühle und audiosysteme und kopiert und tütet ein.;Nichts;
0;AB anpassen;Nichts;
1;Abbau des Beratungsbüros;Nichts;
3;bei Kritik keine Angriffsfläche bieten;Emotionsregulation;
6;Deeskalierendes Vorgehen ist besser als aufbrausendes Reagieren;Situationsdiagnostik;
4;andere um Hilfe bitten, hilft;Bewusstsein der Bedeutung von Selbstreflexion;
3;"Auswertung der SuS-Feedbacks ergab, dass ich offensichtlich immer noch zu viel spreche im Unterricht und ""Techniken geistiger Arbeit"" in mein methodischen Grundprogamm aufgenommen werden soll.";Fähigkeit zur Selbstreflexion;
1;Diskussionen beim nächsten Mal vermeiden;Situationsdiagnostik;
1;Abgleich von Bewertungsansprüchen und -kriterien von Projektarbeiten;Nichts;
7;Abgleich von Unterricht und Prüfungsinhalten;Nichts;
1;Abgrenzung fällt ummer wieder schwer.;Fähigkeit zur Selbstreflexion;
0;Abhängigkeit von anderen und diese nicht erreicht bzw.  keine Antwort erhalten;Nichts;
2;Abi Aufsicht;Nichts;
2;Abiaufgaben enthalten Fehler;Situationsdiagnostik;
2;Abifragen sind zu unpräzise;Situationsdiagnostik;
